Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
Dec-20,Dec-21,YTD 2020,YTD 2021,,Abraham Lincoln Birthplace NHP,"7,472","10,746","3,274","228,141","251,189","23,048", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Acadia NP,"21,260","14,381","-6,879","2,669,034","4,069,148","1,400,114", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Adams NHP,544,360,-184,"6,937","20,679","13,742", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,African Burial Ground NM,116,793,677,"7,908","9,167","1,259", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Agate Fossil Beds NM,121,166,45,"8,722","18,264","9,542", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Alibates Flint Quarries NM,383,461,78,"4,269","9,526","5,257", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Allegheny Portage Railroad NHS,"8,727","12,295","3,568","136,029","187,919","51,890", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Amistad NRA,"89,258","111,483","22,225","1,424,139","1,075,337","-348,802", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Andersonville NHS,"5,713","2,613","-3,100","63,799","45,084","-18,715", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Andrew Johnson NHS,"4,099","5,696","1,597","46,092","63,721","17,629", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Aniakchak NM & PRES,0,0,0,36,36,0, Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Antietam NB,"4,358","9,586","5,228","85,884","110,545","24,661", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Apostle Islands NL,"3,663","2,924",-739,"219,009","290,962","71,953", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Appomattox Court House NHP,"4,466","2,536","-1,930","57,513","92,650","35,137", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Arches NP,"64,042","53,900","-10,142","1,238,083","1,804,241","566,158", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Arkansas Post NMEM,"1,506","1,980",474,"29,653","26,045","-3,608", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Assateague Island NS,"57,325","65,820","8,495","2,481,660","2,662,716","181,056", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Aztec Ruins NM,"1,466","2,223",757,"30,223","54,732","24,509", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Badlands NP,"10,896","8,105","-2,791","916,932","1,224,226","307,294", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Bandelier NM,"6,165","16,762","10,597","94,948","270,716","175,768", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Belmont-Paul Women's Equality NM,0,0,0,"2,535",0,"-2,535", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Bent's Old Fort NHS,504,456,-48,"12,438","21,585","9,147", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Bering Land Bridge NPRES,168,168,0,"2,642","2,642",0, Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Big Bend NP,"60,314","57,095","-3,219","393,907","581,221","187,314", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Big Cypress NPRES,"100,163","326,285","226,122","1,181,930","2,563,813","1,381,883", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Big Hole NB,70,70,0,"36,234","31,262","-4,972", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Big South Fork NRRA,"45,986","59,368","13,382","772,625","834,725","62,100", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Big Thicket NPRES,"31,378","25,810","-5,568","309,053","290,837","-18,216", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Bighorn Canyon NRA,"4,981","4,319",-662,"212,295","219,295","7,000", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Biscayne NP,"20,616","13,080","-7,536","402,770","320,024","-82,746", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Black Canyon of the Gunnison NP,"6,327","7,836","1,509","341,620","308,910","-32,710", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Blue Ridge PKWY,"677,782","883,110","205,328","14,099,485","15,985,942","1,886,457", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
