Title1,Title2
Yosemite NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Summary%20of%20Visitor%20Use%20By%20Month%20and%20Year%20(1979%20-%20Last%20Calendar%20Year)

Field1,Field2,Field3,Field4,RecreationHours,NonRecreationHours,Field5,Field6,Field7,Field8,Field9,Field10,NonRecreationOvernightStays,TotalOvernightStays,Field11,Field12,Field13,Textbox21,Textbox29,Field14,Field15,Field16,Field17,Field18,Field19,Textbox5,Field20,Field21,Field22,Textbox24,Textbox32,Field23,Field24,Field25,Field26,Field27,Field28,Textbox7,Field29
2019,January,"116,746","4,902","1,430,396","138,197","23,306","2,946","3,388",0,538,60,0,"30,238",2019 Totals,"4,422,861","163,602","65,508,566","4,139,502","682,273","469,585","211,948",0,"155,578","30,411",0,"1,549,795","6,691,174","256,100","91,091,829","6,571,886","934,647","537,587","256,444",0,"299,338","30,411",0,"2,058,427"
2019,February,"111,665","4,674","1,079,573","134,426","17,093",488,400,0,635,0,0,"18,616",2019 Totals,"4,422,861","163,602","65,508,566","4,139,502","682,273","469,585","211,948",0,"155,578","30,411",0,"1,549,795","6,691,174","256,100","91,091,829","6,571,886","934,647","537,587","256,444",0,"299,338","30,411",0,"2,058,427"
2019,March,"173,610","6,745","1,845,865","183,552","30,665","1,043","1,328",0,"1,468",418,0,"34,922",2019 Totals,"4,422,861","163,602","65,508,566","4,139,502","682,273","469,585","211,948",0,"155,578","30,411",0,"1,549,795","6,691,174","256,100","91,091,829","6,571,886","934,647","537,587","256,444",0,"299,338","30,411",0,"2,058,427"
2019,April,"297,207","11,187","3,774,333","297,277","45,741","20,367","13,668",0,"1,531",418,0,"81,725",2019 Totals,"4,422,861","163,602","65,508,566","4,139,502","682,273","469,585","211,948",0,"155,578","30,411",0,"1,549,795","6,691,174","256,100","91,091,829","6,571,886","934,647","537,587","256,444",0,"299,338","30,411",0,"2,058,427"
2019,May,"393,004","14,916","5,212,347","393,154","59,043","31,507","16,968",0,"4,924","3,534",0,"115,976",2019 Totals,"4,422,861","163,602","65,508,566","4,139,502","682,273","469,585","211,948",0,"155,578","30,411",0,"1,549,795","6,691,174","256,100","91,091,829","6,571,886","934,647","537,587","256,444",0,"299,338","30,411",0,"2,058,427"
2019,June,"496,625","18,912","6,939,607","488,036","90,910","36,110","9,524",0,"19,050","3,566",0,"159,160",2019 Totals,"4,422,861","163,602","65,508,566","4,139,502","682,273","469,585","211,948",0,"155,578","30,411",0,"1,549,795","6,691,174","256,100","91,091,829","6,571,886","934,647","537,587","256,444",0,"299,338","30,411",0,"2,058,427"
2019,July,"717,462","26,017","10,966,092","629,063","84,692","93,530","32,000",0,"48,052","5,254",0,"263,528",2019 Totals,"4,422,861","163,602","65,508,566","4,139,502","682,273","469,585","211,948",0,"155,578","30,411",0,"1,549,795","6,691,174","256,100","91,091,829","6,571,886","934,647","537,587","256,444",0,"299,338","30,411",0,"2,058,427"
2019,August,"703,153","25,476","12,123,498","615,932","91,329","116,330","46,524",0,"42,027","11,209",0,"307,419",2019 Totals,"4,422,861","163,602","65,508,566","4,139,502","682,273","469,585","211,948",0,"155,578","30,411",0,"1,549,795","6,691,174","256,100","91,091,829","6,571,886","934,647","537,587","256,444",0,"299,338","30,411",0,"2,058,427"
2019,September,"584,664","20,523","10,787,066","494,275","99,853","105,165","41,988",0,"28,464","5,378",0,"280,848",2019 Totals,"4,422,861","163,602","65,508,566","4,139,502","682,273","469,585","211,948",0,"155,578","30,411",0,"1,549,795","6,691,174","256,100","91,091,829","6,571,886","934,647","537,587","256,444",0,"299,338","30,411",0,"2,058,427"
2019,October,"448,939","15,750","6,304,836","379,873","63,733","43,415","29,664",0,"7,619",574,0,"145,005",2019 Totals,"4,422,861","163,602","65,508,566","4,139,502","682,273","469,585","211,948",0,"155,578","30,411",0,"1,549,795","6,691,174","256,100","91,091,829","6,571,886","934,647","537,587","256,444",0,"299,338","30,411",0,"2,058,427"
